,Unnamed: 0,label,text
14155,48123,Unternehmensberatungen,Aiglstorfer Unternehmensberatung Arens
7601,45991,Tiefbau,Kaphag Architektur Und Bau Gesellschaft Mbh
25199,18453,Elektriker,Robert Schmuck Riegg Elektroinstallationsmeister
206,21440,Friseure,Burggraf Friseur
29950,47668,Tiefbau,Twesten Bauunternehmen Borrmann
27335,19402,Elektrotechnik,Ebw Elektrotechnik Gmbh
15825,27965,Gebrauchtwagen,Kaltes Tal Kfz-handel
47226,57837,Vermittlungen,"Waldemar Ries A.a.b. Absicherungen, Alarmanlagen & Bewachungen, Notrufzentrale Remus E.k. Wachdienst"
32812,58400,Versicherungsvermittler,Concordia-versicherungsbüro Eisenbart Heinz-uwe
46796,53236,Vereine,Demenz-verein Saarlouis E. V.
27190,26891,Gebrauchtwagen,Autohaus Zweig Gmbh & Co. Kg Autohandel Philipp
37120,51504,Unternehmensberatungen,Quotaplus Vertriebs- Und Managementberatung Gmbh Managementberatung Gerlach
28199,631,Allgemeinärzte,Haferkamp Arzt F. Innere Medizin U. Allgemeinmedizin Dr. Med. Matthias
34503,32377,Hotels,Hotusa Hotel Im Eckartpark Gmbh & Co. Kg
32477,6671,Architekturbüros,Rehwald Architekt Dipl.-ing.
39020,39103,Restaurants,"Gaststätten, Restaurants - Hofpeter Gmbh & Co Kg"
60515,20491,Elektrotechnik,Picoterra-electronics Kempe
60468,47971,Tiefbau,Yusuftolssen Bauunternehmen Gmbh Bauunternehmen
21520,43283,Sanitärinstallationen,Rowi Gbr Heizung Sanitär Gebäudetrockung Lee
38921,21091,Elektrotechnik,Zse Electronic Mess-systeme & Sensortechnik Gmbh Korth
57378,19946,Elektrotechnik,Hurler Elektronik Gmbh Fertigung Elektronischer Systeme Metz
16034,10917,Dienstleistungen,Gedex-service
55422,26364,Gebrauchtwagen,Autohaus Lind Gmbh Autohaus
42196,22409,Friseure,Friseursalon Coiffeur Baronesse
18303,55350,Vereine,Thomas Jünemann Universum E.v. Programmdurchsage Kino
4955,23261,Friseure,Hans Reichel Smiley Der Friseur
18126,52156,Unternehmensberatungen,Tct Pc-training Consulting Teleworking Computerschule
36369,27459,Gebrauchtwagen,Flüeck Kfz-handel Albrecht
61922,48457,Unternehmensberatungen,Berndt Christian Mibeko Gmbh Wirtschaftsberatung
14999,48817,Unternehmensberatungen,Concepta Gesellschaft Für Unternehmensberatung Mbh Röttger
45717,46438,Tiefbau,Marc Fox Kreativ-bau Gmbh
15170,52310,Unternehmensberatungen,U2 Unternehmensberatungen & Umsetzungsunterstützung Gmbh
32173,39341,Restaurants,"Gaststätten, Restaurants - Restaurant Leszek Hilger Gmbh"
49484,20597,Elektrotechnik,Rkg - Rennekamp Elektronik Kg Rauch
29927,19405,Elektrotechnik,Eco Electronic Commerce Forum
59605,2463,Apotheken,Apotheken - Gerardonn-josefia Apotheke
62201,23241,Friseure,Hallen Friseursalon
14169,942,Allgemeinärzte,Khalil Arztpraxis Für Allgemeinmedizin
55995,51635,Unternehmensberatungen,Richter It-consultant
12861,55798,Vereine,Ökumenische Sozialstation Schifferstadt E.v.
8164,21582,Friseure,Coiffeur Kaufmann
20566,49224,Unternehmensberatungen,Edv-programm-consult Gmbh Angerer
30946,10136,Dienstleistungen,Black Jack Inh. Lajos Böhnig Dienstleistungsservice
48950,62270,Werbeagenturen,Let`s Go Werbeservice Hertel
47901,45247,Tiefbau,Geiken Bau Gmbh Kautz
46766,29032,Handelsvermittler Und -vertreter,Ar Industrievertretungen Handelsvertretung Für Industrie
21866,58512,Versicherungsvermittler,Devk Ge-city Psm Versicherungsservice Gmbh
46800,12787,Dienstleistungen,Service Blattert
36373,39603,Restaurants,Goss Brauereigasthof
22499,1697,Allgemeinärzte,Soimosan Allgemeinarzt Dr.medic. Seliger
14961,49996,Unternehmensberatungen,Holnaicher Unternehmensberatung
42012,8028,Autowerkstätten,Crc Auto Service Center Gmbh & Co. Kg Kfz-meister
2219,3546,Apotheken,Löwen-apotheke Erol Deppermann
53030,47559,Tiefbau,Tesla-bau Bauunternehmung
7223,58008,Versicherungsvermittler,Allianz Generalvertretung Folker Schmitt Versicherung
15197,55175,Vereine,"Sozialwerk St. Benedetto Werkstätten Ggmbh, Lenne-werkstatt E.v. Haus Winkhausen"
21038,3560,Apotheken,Manfred Karg Apotheken - Apotheke Am Ostring
21394,61066,Versicherungsvermittler,Ölschläger Versicherungen
53407,62591,Werbeagenturen,Pixelegg Informatik & Design Gmbh Werbeagentur
23083,25103,Friseure,Top Hair - Mein Friseur
24880,18364,Elektriker,Pucaro Elektro-isolierstoffe Gmbh
48056,26905,Gebrauchtwagen,Autokönig Fahrzeughandel Firma Maschke
55289,43909,Sanitärinstallationen,Wolferstetter Heinz-bernd Gmbh Heizung Und Sanitär
43705,25362,Friseure,Wolfgang Göring Scheich Haarstudio
36249,21032,Elektrotechnik,Willi Rettig Kudla Elektrotechnik Gmbh
56815,60656,Versicherungsvermittler,Vadim Lvm-versicherung Versicherungs- Und Finanzservice
352,62887,Werbeagenturen,Spi- Werbung Werbeagentur Schlesinger
21114,20779,Elektrotechnik,Srb - Innovative Industrie Elektronik Gmbh
31603,17261,Elektriker,Franz Feist Elektro-service Kiehl
58485,6993,Architekturbüros,Spicher Architekt
38055,29408,Handelsvermittler Und -vertreter,Feinheit Cdc Gmbh Internationale Handelsagentur Augustin
45655,53072,Vereine,Bernd Voll Iclei - Local Governments For Sustainability E.v.
42815,24375,Friseure,Patryk Risch Lockstädt Friseur
56059,44720,Tiefbau,Christian Ortner Programm Bau Gmbh
4748,32027,Hotels,Hotels - Hotel Adler Leipzig
33980,1623,Allgemeinärzte,Schunck Allgemeinärztin Dr. Med. Roßbach
54244,15302,Edv,"Procart, Edv Service- U. Vertriebs-gmbh"
44531,37757,Physiotherapie,Skubich Krankengymnastik Schön
30174,58549,Versicherungsvermittler,Die Continentale Maus & Maus Gbr Versicherung
7081,37551,Physiotherapie,Rein Physiotherapeutin
44150,31997,Hotels,Hotels - Gartenhotel Ponick Gmbh
43725,27647,Gebrauchtwagen,"Haben Gmbh, Autohaus Rost"
18269,15276,Edv,Pirsch It-service
42474,62930,Werbeagenturen,Studiengemeinschaft Darmstadt Werbung Pollak
8409,23462,Friseure,Hogen Friseursalon
3566,13351,Dienstleistungen,Werbe-service Ollech Gmbh
23786,25510,Gebrauchtwagen,Alfred Mahn Parrinello Autohaus
58470,21405,Friseure,Brainworker Frisör Kölsch
59764,54627,Vereine,Michael Heigl Kfh Kuratorium Für Dialyse Und Nierentransplantation E.v. Kfh-nierenzentrum
53396,34574,Maler,Malerbetrieb Roth
31385,6819,Architekturbüros,Scharnowski Loddenkemper Architekten Gbr Bremer
47095,5562,Architekturbüros,Hembach Architekt Dipl.-ing.
1364,28713,Gebrauchtwagen,Straub's Autowerkstatt Gmbh Autohaus
28864,29868,Handelsvermittler Und -vertreter,"Joachim Heise Maschinenfabrik Bermatingen, Verkaufsbüro Südwest"
53843,27764,Gebrauchtwagen,Heribert Scheibner Kfz Tuna Autohandel
13907,57754,Vermittlungen,Straßenverkehr Auskunft Zu Kfz-zulassungsstelle Stva.de E.k. Auskunftsdienst Gröne
53994,18309,Elektriker,Pevs Gmbh Elektroinstallation
30110,28437,Gebrauchtwagen,Pollinger Autohaus
34512,5510,Architekturbüros,Heinrich Klocke Kneip Architekturbüro Dipl.-ing.
51928,34910,Maler,Ossenbrüggen Malereibetrieb
58603,53340,Vereine,Die Mitläufer E. V. Hänel
13557,21322,Friseure,Belmonte Friseur Heiser
49049,24358,Friseure,Otto Ruf Top Hair - Mein Friseur - Salon - Coiffeur Coiffeur
18344,62351,Werbeagenturen,Markus Rauch Blatt Für Blatt Druck Und Werbung Druckerei
14923,36605,Physiotherapie,Jakobusczyk Krankengymnastik
25296,39933,Restaurants,Immenhof Hotel Und Restaurant Zenker
34165,58157,Versicherungsvermittler,Axa Versicherung - Inreka Gmbh Finanzdienstleistungen
14792,58920,Versicherungsvermittler,Getto & Beyer Gmbh Versicherungsbüro
39125,49741,Unternehmensberatungen,Günther Horst A.s.i. Wirtschaftsberatung Ag
238,35202,Maler,Schieferdecker Kirchenmalermeister
61478,26452,Gebrauchtwagen,Autohaus Nazif Gmbh
37026,27499,Gebrauchtwagen,Friedhelm Wehrle Besch Autohaus Vertragshandel
19238,48625,Unternehmensberatungen,Böhm Bauconsulting Gmbh
6098,2527,Apotheken,Apotheken - Kranich-apotheke
8890,53717,Vereine,Gerlach-reinholz
61953,20535,Elektrotechnik,Putze Elektronik
20858,53973,Vereine,Hospiz-verein Erlangen E.v. Jehle
48298,34400,Maler,Lagoni Malereibetrieb Gmbh
60660,62154,Werbeagenturen,Kips Werbeagentur
21141,60829,Versicherungsvermittler,Wedler Versich.kfm.
25005,37014,Physiotherapie,Mehrwald Krankengymnastin Kindermann
2621,33431,Maler,Dericks Malergeschäft
50909,37554,Physiotherapie,Reinhard Jacobsen Lüpke Physiotherapie
24933,37523,Physiotherapie,Ralph Hildebrand Feuerecker Therapieteam Krankengymnastik Logopädie Massage
39296,19068,Elektrotechnik,Achim Hug Elektrotechnik Ewt
5562,39573,Restaurants,Gerhardt Der Große Inh. Poptsia Janek Restaurant
15515,59956,Versicherungsvermittler,Nissel Versicherungskaufmann Klaus
57375,6858,Architekturbüros,Schmitz Architekt
7392,32880,Hotels,Siegfried Baumeister Hotel Stadtresidenz
22603,3653,Apotheken,Nikolaus Nau Süd
54684,18800,Elektriker,Timothy Kruppa Elektroinstallation
42703,21140,Friseure,Alexander Kollmann Hair And Soul Friseur
57826,9214,Autowerkstätten,Rohrberg Hans-walter Kfz Meisterbetrieb
1306,20133,Elektrotechnik,Knürr Mechanik Für Die Elektronik Ag Goldschmidt
4010,31170,Hotels,Central Fritz
16346,62096,Werbeagenturen,Jörg Thormann Tdw Thüringen Druck & Werbung Gmbh Druckerei
17853,20398,Elektrotechnik,Necipsch Elektrotechnik
54497,49632,Unternehmensberatungen,Ginkgo Management Consulting Gmbh
567,2793,Apotheken,Apotheken - Vita Apotheke Apotheke
46906,18190,Elektriker,Nasdala Elektromeister Elektroinstallationen
50163,19256,Elektrotechnik,Büdenhölzer Elektrotechnik Strobl
36983,23635,Friseure,Josef Stockmann Friseursalon
28328,22919,Friseure,Haarmonie Frisör
30108,36977,Physiotherapie,Mario Neugebauer Krankengymnastik- U. Massagepraxis Pathen
2274,57605,Vermittlungen,"Peter Behringer Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Solaranlagenbau"
48168,5925,Architekturbüros,Klaften Architekt Dipl.-ing. Heid
47966,16519,Elektriker,Elektro Haindl Gmbh
50871,50076,Unternehmensberatungen,Icg Industrie Consulting Gmbh Schlicht
38838,34602,Maler,Malerei Mit Pfiff Gmbh
59085,20781,Elektrotechnik,Srs Elektrotechnik Gmbh
18931,4309,Architekturbüros,Architekt Horst-jürgen Frey Dipl.-ing.
33165,52432,Unternehmensberatungen,Videmus Consulting Brandes
25866,1444,Allgemeinärzte,Rahrisch Praxis Für Allgemeinmedizin Dr. Med.
42902,37795,Physiotherapie,Stefane Praxis Für Physiotherapie Und Osteopathie
30073,8343,Autowerkstätten,Günter Carl Autoservice Klitten Gmbh
47836,41137,Restaurants,White Buffalo Inh. Nicolaus Herzog
45217,14020,Edv,Csb Vertriebs Gmbh Edv-service
15669,11547,Dienstleistungen,Josef Pauli Waterfront Services Gmbh
5500,1245,Allgemeinärzte,Muckle Allgemeinarzt
13780,6144,Architekturbüros,Lepold Architekt
25806,31794,Hotels,Hotel Seepromenade
60245,20911,Elektrotechnik,Trigon Elektronik Gmbh Elektronik
10702,6768,Architekturbüros,Ruhnke Architekt
24523,16164,Elektriker,Christian Reichelt Elektro Dötzer
16249,21484,Friseure,Cano Hair Friseur Kuhl
130,28895,Gebrauchtwagen,Wildprett Kfzmstr. Autoverkäufer
21315,16743,Elektriker,Elektro Schillinger Gmbh
5747,39289,Restaurants,"Gaststätten, Restaurants - Pavillon Mahmudsberg Inh. Richter"
22636,17377,Elektriker,Grabe Elektroinstallateurmeister
35776,23082,Friseure,Hair Company Gmbh & Co. Kg Haus
46253,52730,Unternehmensberatungen,Zinkernagel Consulting-laboratory Dr. Dipl.-geologe
14700,13792,Edv,Cag Computerservice Inh. Hilalo Grygier
33217,13489,Dienstleistungen,Zeithorizont Service Ug Genz
3421,46626,Tiefbau,Müller Bau Gmbh & Co. Betriebs-kg
3168,32149,Hotels,Hotels - Hotel Wasunger Tor Hotel
26725,43906,Sanitärinstallationen,Wochermaier & Glas Gmbh Heizung Sanitär
40694,57798,Vermittlungen,Thomas Mair Kino Auskunft Programm Filmbeschreibung Kartenresevierung Unab. Info-zentr. Ek Kinoinformation
2105,15264,Edv,Petschke Computerservice
16481,62435,Werbeagenturen,Morczinek Werbung Mühle
62040,63206,Werbeagenturen,Werbeatelier Schöpp Beschriftung
25232,51865,Unternehmensberatungen,Schäfer Consult
26553,2131,Apotheken,Apotheke Am See
28216,45621,Tiefbau,Helmut Brill Siebke-bau-gmbh
38585,10454,Dienstleistungen,Dentales Service Zentrum Gmbh & Co. Kg Ludewig
19044,13397,Dienstleistungen,Willi Steinkamp Kwa Betriebs- Und Service-gesellschaft Mbh
63120,36683,Physiotherapie,Karl-Heinz Manthey Czymmek Krankengymnast Physiotherapeut
60748,20943,Elektrotechnik,Ventur Elektrotechnik Jakobs
39610,58272,Versicherungsvermittler,Binner Versicherungsbüro Niermann
35327,12517,Dienstleistungen,Regionalwert Dienstleistungs-
13089,23750,Friseure,Kiefaber Frisuren
59701,53612,Vereine,Freie Demokratische Wohlfahrt Berlin E.v. (fdw)
6511,53403,Vereine,Dresdner Pflege- U. Betreuungsverein E.v. Weigert
40875,42545,Sanitärinstallationen,Josef Droste Helüsan Heizung-lüftung-sanitär Gmbh
36579,4786,Architekturbüros,Cevdet Krafft Güth Architekt
60477,1979,Allgemeinärzte,Wolfgang Hinrichs Lapp Allgemeinarzt Dr. Med.
24623,51778,Unternehmensberatungen,Sbb - Schulung - Bildung - Beratung Unternehmensberatung Für Projektmanagement
13698,9017,Autowerkstätten,Nietzel Gmbh Kfz-reparaturen Aller Art
61663,3116,Apotheken,Eulen Apotheke Mundt
54,20051,Elektrotechnik,Jürgen Klose Esm Elektrotechnik Gmbh
21475,31209,Hotels,Colombi Hotel
298,33868,Maler,H & H Gmbh Malerfachbetrieb Glas
14227,17173,Elektriker,Ernst Schülke Mogschan Elektroinstallation
26993,58583,Versicherungsvermittler,Dobias Versicherung Baron
27636,45892,Tiefbau,Jenne Bau Gmbh Bauunternehmen Schaub
10308,47189,Tiefbau,"Schneider & Bitzer Gmbh, Bauunternehmung"
40236,13032,Dienstleistungen,Tcs Transchem Services Gmbh
8157,13350,Dienstleistungen,Wendum Espresso Service Gmbh Knecht
8194,15777,Edv,Walter Flaig Aastron Computersysteme Gmbh
45581,4485,Architekturbüros,Architekturwerkstatt Fichtner
58270,21714,Friseure,Deinhard Friseursalon
33248,23245,Friseure,Hanewinkel Haar-mode Heymann
20055,12354,Dienstleistungen,Piepenbrock Dienstleistungen Gmbh + Co.kg Fels
3531,38437,Restaurants,Cafés - Heinz-uwes Coffee Gmbh Gastronomie
46979,5374,Architekturbüros,Günter Wölfle Draxler Architektur
55667,50151,Unternehmensberatungen,Innovation- Und Wirtschaftsberatung Wia Gmbh Erfurt Anders
53240,61544,Werbeagenturen,Do.x Graficfactory Werbeagentur Andresen
62515,17947,Elektriker,Leibner Elektroinstall. Ölbrennerkundend. Zell
28525,11139,Dienstleistungen,Hans-hermann Weigel Services Gmbh
22450,7658,Autowerkstätten,Auto-schnellhilfe Ahrensburg Kfz-werkstatt
25362,32556,Hotels,Manfred Barthel Hotel Süden-rudow
21589,7248,Architekturbüros,Walter Schaffer Ahlert Architekturbüro
3637,56265,Vermittlungen,"Alarmanlagen, Absicherungen Aller Art, Video,notrufzentrale Remus Tag+nacht E.k. Alarmanlagentechnik Lübke"
38411,37561,Physiotherapie,Reinhold Gebhard Brunk Praxis Für Physiotherapie
29961,28885,Gebrauchtwagen,Wessels Autohaus
60698,39726,Restaurants,Heinrich Nienhaus Plettenberg
10750,53882,Vereine,Heinz Kupka Hebammenzentrale E.v.
4740,34734,Maler,Mario Knapp Leibelt Malermeister
20495,2189,Apotheken,Apotheke Pattonpoint Wendt
50361,17208,Elektriker,Eßwein Elektromeister Eichhorn
14856,37142,Physiotherapie,Osbild Praxis Für Physiotherapie Lietz
4300,42793,Sanitärinstallationen,Lachner Heizung Sanitär
