,label,text
30539,Handelsvermittler Und -vertreter,Schonter Handelsvertretungen Dombrowski
28895,Gebrauchtwagen,Wildprett Kfzmstr. Autoverkäufer
51946,Unternehmensberatungen,Sigma Gmbh Gesellschaft Für Betriebliche Sozialberatung U. Kai-uwesonalentwicklung Unternehmensberatung
38042,Physiotherapie,Wihlbiller Krankengymnastik Clausen
44001,Tiefbau,Ackermann Bau Gmbh
31540,Hotels,Herbert Nau Hotels - Korso
273,Allgemeinärzte,Dachrodt Allgemeinarzt Dr. Med.
28711,Gebrauchtwagen,Stradinger Autohaus Gmbh Autovertragshdl. U. -vermietung
34975,Maler,Piller Janos Und Martin Gmbh Malerwerkstätten
5312,Architekturbüros,Gorgon Architekt Dipl.-ing. Frieß
53006,Vereine,Awo Unterbezirk Dortmund Westl. Westfalen E.v. Sozialbereich
40366,Restaurants,Möbel Wiemer Gmbh & Co.kg Restaurant
16552,Elektriker,Elektro Hollstein
27904,Gebrauchtwagen,Johannes Haß Claessens Gmbh Autohaus
33419,Maler,David Priebe Malerfachbetrieb Nikaelski & Höwe Gmbh Malerfachbetrieb
18276,Elektriker,Palzer Gmbh Elektroinstallation Wiederhold
36647,Physiotherapie,Jumeau Physiotherapeutin Und Masseurin
5910,Architekturbüros,Kiltz Architekturbüro Bormann
55393,Vereine,Tsv 04 Bremke-ischenrode E.v.
24688,Friseure,Salon Figaro
12709,Dienstleistungen,"Scherrieble Gmbh & Co. Dienstleistungs Kg, Erkan"
50671,Unternehmensberatungen,Leopold Adler Wang Hanwang Consulting
34379,Maler,Kutscher Malerbetrieb
22211,Friseure,Friseur Haarstudio Reinbek
32120,Hotels,Hotels - Hotel Pension Brilke
16765,Elektriker,Elektro Schweikert
17961,Elektriker,Lesch Elektromeisterbetrieb
56453,Vermittlungen,"Dieter Fleischmann A.a.b. Absicherungen, Alarmanlagen & Bewachungen, Notrufzentrale Remus E.k. Wachdienst"
47095,Tiefbau,Rübke Gmbh & Co Bauunternehmen Kretschmer
32380,Hotels,Hueseyin Roloff Hotels - Sonne
34156,Maler,Johann Hackmann Geifes Malermeister
45242,Tiefbau,Geidel Tiefbau Gmbh Busse
60912,Versicherungsvermittler,Winfried Wüst Provinzial Versicherung
3737,Apotheken,Peter Dill Alster Apotheke
44885,Tiefbau,Dmitri Drewes Cichy Bauunternehmen
41195,Restaurants,Wolfgang Wollny Am Schlosspark Vinothek
50482,Unternehmensberatungen,Kloepfel Consulting Gmbh
62105,Werbeagenturen,Jürgen Pätzold Format Promotion Gmbh Agentur Für Druckerzeugnisse
23877,Friseure,Kunstleben-dau Haarstudio Bensch
25040,Friseure,Tasto U. Vogt Friseur
9264,Autowerkstätten,"Sattler Gmbh, Hans-uwe Kfz"
18064,Elektriker,Maschmeier-elektrotechnik Elektroinstallation Thamm
55387,Vereine,Trägerverein Umweltbildungszentrum Krzystofthof E. V.
18375,Elektriker,R. Pape Gmbh Elektro- U. Fernmeldetechnik
59056,Versicherungsvermittler,Haaß Versich.hpt.vertr.
14895,Edv,Leikon Gmbh Edv-dienstleistung
46426,Tiefbau,Manfred Vorwerk Dezimbalka Gmbh U. Co.kg Bauunternehmen
20577,Elektrotechnik,Rene Karger Eie Energiesysteme Und Industrie-elektronik Gmbh
63281,Werbeagenturen,Wma Design Textildruck Atelier Für Werbung
62697,Werbeagenturen,Reiner Grüner Mts Gmbh
7322,Architekturbüros,Wienken Architekt Dipl.-ing.
16571,Elektriker,Elektro Inside Gmbh
60442,Versicherungsvermittler,Signal Iduna Versicherungsbüro Jens-diethard Christofer
41089,Restaurants,Waldgasthof Bienwaldmühle Roth Gastronomie
25827,Gebrauchtwagen,Autohaus Bachmann Gmbh
3886,Apotheken,Scheele-apotheke Inh. Detlef Döpping
41353,Sanitärinstallationen,Abt Verbraucherschutz Hilfe Für Rohr+kanalreinigung+sanitär Infotelefon E.k. Verbraucherschutz Schaal
58308,Versicherungsvermittler,Breithaupt Bela Büro Für Versicherungen Gmbh
34258,Maler,Kiesendahl Malerbetrieb
50345,Unternehmensberatungen,Jörg Exner Pampel Consulting Und Unternehmensberatung
61230,Werbeagenturen,Avniowski Werbung
20314,Elektrotechnik,Meonic Parking Systems Gmbh Elektrotechnik
60611,Versicherungsvermittler,Tobias Drechsler Magic Versicherungsbüro
22626,Friseure,Frisör X-press
14663,Edv,Irepair It Gmbh Computerreparatur Karsten
35595,Maler,Watermann Malermeister Alt
8450,Autowerkstätten,Helge Hackl Kuper Kfz-werkstatt
42126,Sanitärinstallationen,Gäßl Sanitär Heizung Mück
49296,Unternehmensberatungen,Ermisch Sales Consulting Edv-dienstleistungen
37686,Physiotherapie,Schoster Krankengymnastik
42484,Sanitärinstallationen,Illigen Karl-karl-ernst Gmbh Heizung Sanitär Und Lüftung Heizungsbau
7793,Autowerkstätten,Autoservice Gaugler Schacht
16470,Elektriker,Elektro Fein Gmbh
28357,Gebrauchtwagen,Nuding Autohaus
47250,Tiefbau,Schwing Gmbh Bauunternehmung
4912,Architekturbüros,Dietz-joppien Architekten Ag
49059,Unternehmensberatungen,Dienstleistungen Dreizler Unternehmensberatung Grosse
21440,Friseure,Burggraf Friseur
45508,Tiefbau,Hans-andildo Schmidt Tiefbau Gmbh
61364,Werbeagenturen,Bütehorn Werbeagentur
37075,Physiotherapie,Münster Praxis Für Physiotherapie
3034,Apotheken,Dogan-sachs Apotheke Inh. Sonja Terboven
27485,Gebrauchtwagen,Franz Grund Nord-ostsee Automobile Gmbh & Co. Kg
13316,Dienstleistungen,Walter Pfeffer Quipp Dienstleistungs- Und Service Gmbh
38371,Restaurants,Burghotel Ad-sion
24524,Friseure,Ralf-dieter's Haarstube
50215,Unternehmensberatungen,Isdc Unternehmensberatung
4530,Architekturbüros,Axel Eggert Beljatzky Architekt Dipl.-ing.
51445,Unternehmensberatungen,"Profinanz Gesellschaft Für Wirtschaftsberatung, Konradbilien U. Vermittlung Von Finanzdienstleistungen Mbh"
49159,Unternehmensberatungen,Dt Consulting Gmbh Kück
12148,Dienstleistungen,Nagel Reglungstechnik & Service Gmbh
10490,Dienstleistungen,Dienstleistung Aller Aet Ertl
36475,Physiotherapie,Hellfriedy Physiotherapeutische Praxis
51125,Unternehmensberatungen,Norbert Heidrich Wilbers Consulting
3237,Apotheken,Günter Hümmer Thüringer Apotheke
53245,Vereine,Dermaticon E.v. Rühl
50233,Unternehmensberatungen,Itanova Consult Gmbh Technische Softwareentwicklungen
57062,Vermittlungen,"Friedhelm Rusch A.a.a.allround Dienstleistungen, Ausführung U. Vermittlung, Notd. Tag+nacht Gmbh Schädlingsbekämpfung"
39670,Restaurants,Hans-Jürgen Schlecht Kreuz
36580,Physiotherapie,Hülle Fachpraxis Für Physiotherapie
14533,Edv,Hernandez Edv-dienstleistungen
10671,Dienstleistungen,Enbw Energie Baden-württemberg Ag Service Gmbh Informationszentrum
23195,Friseure,Hairform Visü Friseur
8125,Autowerkstätten,Einert Autowerkstatt Jost
37307,Physiotherapie,Physiotherapie Jutta & Walter Roßkopf
41945,Sanitärinstallationen,Flierl Sanitär- Heizungs- Und Klimainstallation
20254,Elektrotechnik,Maik Engelbrecht Bkl-electronic Kreimendahl Gmbh
40400,Restaurants,Norle Ggmbh Lopshof Café / Restaurant Moor
37116,Physiotherapie,Noske Praxis Für Physiotherapie Putz
35202,Maler,Schieferdecker Kirchenmalermeister
36528,Physiotherapie,Hintermeir Krankengymnastik Gilles
50843,Unternehmensberatungen,Martin Bader Consult Contor Gmbh
31383,Hotels,Georg Kurth Gothmann's Hotel
23034,Friseure,Haarwerk Ohg Knop
43598,Sanitärinstallationen,Steen Blechnerei Sanitär Zabel
45332,Tiefbau,Goffloo Wolf-dieter Gmbh Bauunternehmen
10403,Dienstleistungen,Daniel Bergen Abrechnungsservice Wundram Gbr Dienstleistungsbetrieb
20718,Elektrotechnik,Sebastian Bosse Micom-electronic Computer
6273,Architekturbüros,Mathias Raddatz Architekturbüro Kottusch Architekten Bda
39371,Restaurants,"Gaststätten, Restaurants - Reuther Metzgerei"
33817,Maler,Grzegorz Reißland Malerbetrieb
14207,Edv,Eilert + Geisendorf Edv-service Gmbh
39534,Restaurants,"Gaststätten, Restaurants - Zur Quelle Inh. Gürselia Woit"
22301,Friseure,Friseur Salon Raymond Ahmade
29274,Handelsvermittler Und -vertreter,Die Fünfunddreißig Handelsgesellschaft Mbh Erotikhandel
21250,Friseure,Artur Klein Mangiapane Friseur
29453,Handelsvermittler Und -vertreter,Friedbert Wölfel Hmh Handelsvertretung Handelsvertreter
16745,Elektriker,Elektro Schladebach Gmbh
8732,Autowerkstätten,Klaus Tischer Voihs Autowerkstatt U. -verk.
17109,Elektriker,Elektronotdienst Bayern Gmbh Elektronotdienst
58977,Versicherungsvermittler,Graefe Versicherungsbüro Wölfel
47272,Tiefbau,Seeberger Baugeschäft
48309,Unternehmensberatungen,Ats Software Research & Consulting
23069,Friseure,Hair And Soul Friseursalon
48669,Unternehmensberatungen,Casa-concept-consulting Gmbh & Co. Kg Hielscher
8069,Autowerkstätten,Dieling Kfz
48362,Unternehmensberatungen,Balsliemke Industrieberatung Helmer
17363,Elektriker,Glodde Elektromeister Stefan
26714,Gebrauchtwagen,Autohaus Stjepan Wißmann Gmbh
51075,Unternehmensberatungen,Navi Consult Bereederungs-gmbh
56864,Vermittlungen,"Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Satellitenantennenbau Weidemann"
47873,Tiefbau,Wildtraut Metin Baugeschäft Gmbh
18535,Elektriker,Schiefelbein Elektro Krell
13407,Dienstleistungen,Wkh Bühnen-und Congress-service Gmbh Schülke
54759,Vereine,Norddeutsche Gesellschaft Für Diakonie E. V. Norderstedter Werkstätten
61422,Werbeagenturen,Comunique Gmbh & Co. Kg Werbung
5904,Architekturbüros,Kiefer-architekten Architekturbüro
613,Allgemeinärzte,Günter Scheuermann Holodniak Fachärztin Für Innere Medizin
6208,Architekturbüros,Lüke Architekt Dipl.-ing.
21548,Friseure,Clemens Borgmann Friseursalon Esthetik
54652,Vereine,Miteinanderlebene E.v. Migrationsberatung Röhrig
33630,Maler,Flühr Malerfachbetrieb
41728,Sanitärinstallationen,Curt Schnabel Gmbh
51361,Unternehmensberatungen,Pohl Unternehmensberatung
4263,Architekturbüros,Andreas Behrendt Hünefeld Architekturbüro Dipl.-ing.
60011,Versicherungsvermittler,Orzech Versicherungsservice Horn
48935,Unternehmensberatungen,Cti Consult-team Leopoldnieur-gesellschaft
10329,Dienstleistungen,Confila Service Gmbh Buchung Laufender Geschäftsvorfälle
56758,Vermittlungen,"Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Satellitenantennenbau Bücker"
57398,Vermittlungen,Kawallek Wirtsch.berat. U. -vermittlung Arlt
5662,Architekturbüros,Hsi-planungs-gmbh Architekturbüro
28802,Gebrauchtwagen,Turowski Automobilhandel
44841,Tiefbau,Dieter Gaida Florack Bauunternehmung Gmbh
52943,Vereine,Arbeitslebenzentrum E. V. Kress
42559,Sanitärinstallationen,Juch Heizung Lüftung Und Sanitär
14513,Edv,Helmut Reh Beokom Kommunikationssysteme Gmbh
57688,Vermittlungen,"Rolf Engelbrecht Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Solarstromanlagenbau"
14821,Edv,Klaus Knop Dataflor Ag
7766,Autowerkstätten,Automobile Lehmler Kfz-reparaturen
33868,Maler,H & H Gmbh Malerfachbetrieb Glas
22816,Friseure,Günter Engelhard Cumbo Frisiersalon
46915,Tiefbau,Raimund Buchwald Allweier Gmbh + Co. Kg Bauunternehmung
7348,Architekturbüros,Willi Oppermann Päffgen Architekt
3577,Apotheken,Marktplatz-apotheke Senne Inh. H. Mattiase
52076,Unternehmensberatungen,Strategy & Logistics Consultants
62904,Werbeagenturen,Stairs Werbeagentur Gmbh Werbeagentur Kuntze
10464,Dienstleistungen,Detlef Heinecke Maintec Service Gmbh
58624,Versicherungsvermittler,Eder Versicherungs- Vermittlungs Gmbh
1142,Allgemeinärzte,Madre Allgemeinärztin Steinberg
4092,Apotheken,Volker Dittmann Apotheken - Apotheke Prohlis Im Gesundheitszentrum
41753,Sanitärinstallationen,Denas Gmbh Heizung-sanitär Klar
19959,Elektrotechnik,Höpner Elektrotechnik
46241,Tiefbau,Köster Bau Magdeburg Gmbh & Co
59456,Versicherungsvermittler,Josef Matzke Hufenreuter Versicherung
53162,Vereine,Bötzowstrolche E. V.
56894,Vermittlungen,"Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Solaranlagenbau Engert"
22050,Friseure,Fon Friseur Gmbh
9182,Autowerkstätten,Reinhold Ernst Tahmasebi Pour/autohaus Neckarhelle Autofachwerkstatt
51588,Unternehmensberatungen,Reinhard Knoch Mergelsberg & Partner Unternehmensberatung
13657,Edv,Bante Datenservice
48048,Unternehmensberatungen,Abakus Unternehmer- U. Mittelstandsberater Gmbh & Co. Kg
28571,Gebrauchtwagen,S & L Automobile Gmbh Autohaus
19190,Elektrotechnik,Bet Elektrotechnik Elektrotechnik Heyn
19974,Elektrotechnik,Ilkerz & Schneider Elektrotechnik Gmbh
33093,Hotels,Zentral-hotel
15145,Edv,Nova Informationstechnik Gmbh
36493,Physiotherapie,Herbert Adrian Eiffler Medizinische Bäder- Und Massagepraxis
28208,Gebrauchtwagen,"Manuel Weißmann Gandenberger Gmbh & Co. Kg, Vw Und Audi"
46064,Tiefbau,Kiefersauer Bauunternehmung
20197,Elektrotechnik,Lange-electronic Gmbh
9512,Autowerkstätten,Vredener Lkw Bremsendienst
15588,Edv,Stefan Ludwig Böker Pc-dienstleistungen! Computerdienstleistung
43526,Sanitärinstallationen,Seum Heizung- Und Sanitärinstallation
6456,Architekturbüros,Ohnesorge Architekten Architekturbüro
20109,Elektrotechnik,Klaus Götte Böhle Elektrotechnik
6828,Architekturbüros,Schelkle Architekturbüro
60537,Versicherungsvermittler,Stuttgarter Versicherung Stuttgarter Lebensvers. A.g.
49352,Unternehmensberatungen,Excello Management Consultants Gmbh & Co. Kg
32070,Hotels,Hotels - Hotel Fallersleber Spieker Gmbh
21048,Elektrotechnik,Witec Elektrotechnik Gmbh Kropf
8465,Autowerkstätten,Helmut Stumpe Börste Kfz-reparaturwerkstatt
45563,Tiefbau,Heckener Tiefbau Gmbh Co. Kg Bauunternehmen
59100,Versicherungsvermittler,Harald Hilker Peissig Versicherung
34548,Maler,Malerbetrieb Kallert Gmbh Malerbetrieb Liese
8022,Autowerkstätten,Colo Kfz-reparaturen
51041,Unternehmensberatungen,Msc Management-service-consulting Gmbh
2762,Apotheken,Apotheken - Staufer Apotheke
34959,Maler,Peter Türk A & M Malermeister Betrieb Gbr
38769,Restaurants,Gasthaus Zur Krone
31617,Hotels,Hotel Bee Davutg Gmbh
13508,Dienstleistungen,Zuhnemer Dienstleistungen Grün
34569,Maler,Malerbetrieb Pauly
48350,Unternehmensberatungen,B.i. Consult Ismet Schubert Dipl.ing.(fh)
62887,Werbeagenturen,Spi- Werbung Werbeagentur Schlesinger
17069,Elektriker,Elektrobau Gennaro Schulze Gmbh
28745,Gebrauchtwagen,Tatari Autohandels Gmbh
31672,Hotels,Hotel Garni Reinald Am See Inh. Friedmarandra Nickels
30264,Handelsvermittler Und -vertreter,Nikolai Weißbach Schweiker Werksvertr.
49065,Unternehmensberatungen,Dieter Lindenberg Mtb - Group Unternehmensberatung
46299,Tiefbau,Leib-reese Gmbh Bauunternehmen
49989,Unternehmensberatungen,Hofmann Consulting Dipl.- Betriebswirt
56541,Vermittlungen,"Elektro A-z & Notdienst, Alarm-, Photovoltaik-/solarstrom-, Sat-, Sprechanlagen E.k. Solaranlagenbau Ebert"
5308,Architekturbüros,Goldbach Architekten
62390,Werbeagenturen,Medienartisten Gmbh & Co. Kg Werbeagentur Gerling
21336,Friseure,Bernd Häcker Espe Friseur
3733,Apotheken,Pelkoven Apotheke
56175,Vermittlungen,"Alarmanlagen, Absicherung Aller Art, Video, Notrufzentrale Remus Tag + Nacht E.k. Alarmanlagentechnik Alt"
51070,Unternehmensberatungen,Nabuco Consulting Wahl
61594,Werbeagenturen,Eggert James Gwk Gesellschaft Für Werbung Und Kommunikation Mbh
3096,Apotheken,Ensinger
5192,Architekturbüros,Fussenegger Architekt Dipl.-ing.
27806,Gebrauchtwagen,Horst Eckardt Lofi Autohaus
54515,Vereine,Lohnsteuer-beratungs-verein E.v.
45708,Tiefbau,Hmd Bau Gmbh & Co.kg
30944,Hotels,Alfred Raabe Hotel Teegen
11559,Dienstleistungen,Junau Betriebs-service Gmbh
8339,Autowerkstätten,Göppert Getriebeinstandsetzung
62493,Werbeagenturen,Nuarts Werbeagentur Stolte
55026,Vereine,Rothenburg E.v.
41456,Sanitärinstallationen,Ausberger Jonas Kg Zentralheizungen Sanitäre Anlagen
24081,Friseure,Mario Kerner Izzo Intercoiffeur
4424,Architekturbüros,Architekturbüro Laabs
42808,Sanitärinstallationen,Laszlo Sanitärinstallation
8233,Autowerkstätten,Futterknecht Autoservice Wiedmann
14078,Edv,Deister Informationstechnik Gmbh Seibert
25028,Friseure,Süßmann Damen- Und Herrenfriseursalon
2372,Apotheken,Apotheken - Christoff-apotheke
8946,Autowerkstätten,Michael Klaas Dennstädt Kfz-service
85,Allgemeinärzte,Balogh Allgemeinarztpraxis Dr. Med.
1684,Allgemeinärzte,Simmet Allgemeinärztin Dr. Schober
14579,Edv,Hoose It Computerservice
45050,Tiefbau,Ernst-ludwig Bau Gmbh
39783,Restaurants,Heskamp Gasthof Lebensm.
45572,Tiefbau,Heim Kg Bauunternehmen
5226,Architekturbüros,Gebert Architekt Und Designer Dipl.-ing.
859,Allgemeinärzte,Johann Wiedmann Farkas Ärzte Für Allgemeinmedizin Dres.
59183,Versicherungsvermittler,Hepago Versicherungsvermittlungs Gmbh
61657,Werbeagenturen,Fahl Messen Vertrieb Promotion Messeveranstalter Henninger
59798,Versicherungsvermittler,Manowita Versicherung
61274,Werbeagenturen,Bernd Altmann Hennig Agentur Für Kommunikation Gmbh Werbeagentur
1052,Allgemeinärzte,Kurt Haus Broich Facharzt Für Allgemeinmedizin Praxis
1546,Allgemeinärzte,Salcun Allgemeinmedizin Dr.
53268,Vereine,Dgzh E.v.
17554,Elektriker,Helmut Stelling Daimer Elektrofachbetrieb
54303,Vereine,Klaus Renner Tonbergbauverein Westerwald Ev
58167,Versicherungsvermittler,Axa Versicherung Teodor Leis Versicherungsbür
62608,Werbeagenturen,Polarwerk Gmbh Werbeagentur Für Design Seidl
20687,Elektrotechnik,Schneider Elektrotechnik Gmbh
7748,Autowerkstätten,Autohaus Voetter Kfz-handel Horst
16833,Elektriker,Elektro Voit Gmbh
15961,Elektriker,Andreas Redlich Schimkus Elektromeister
13633,Edv,Attingo Datenrettung Gmbh Singh
56107,Vermittlungen,Aktiv Auskunft Verbraucher-beratung Gmbh Verbraucherschutz Knorr
38174,Restaurants,Almstüble
